Column1, Rank,Company,Country,Sales,Assets,Market Value,Sector,Industry,Snippet,
842,843,American Financial Group,United States,6-Apr,557,8-Feb,Financials,Diversified Insurance,"American Financial Group, Inc. ist eine amerikanische Finanzdienstleistungsholding mit Sitz in Cincinnati, Ohio. Die Hauptgesch䦴e sind Versicherungen und Investitionen.",
843,844,NXP Semiconductors,Netherlands,9-May,,36.2,Information Technology,Semiconductors,NXP Semiconductors ist ein niederl䮤ischer Halbleiterhersteller. NXP ist der im Jahr 2006 ausgegliederte Halbleiterbereich der Royal Philips,
844,845,China National Nuclear Power,China,4-Feb,414,17,Energy,,"DieChina National Nuclear Corporation(CNNC,der gr_xDE3F__xDD25_ Betreiber vonKernkraftwerkenin derVolksrepublik China[1]wurde am 16.September 1988 durch einDekretderChinesischen Regierunggegrndet: Sie versteht sich alsnationales Regierungsbro frNuklearenergieund untersteht direkt demStaatsrat der Volksrepublik. Dabei kombiniert sieNuklearwaffentechnikmit der zivilen Nutzung der Kernenergie.",
845,846,Athene Holding,Bermuda,4-Jan,867,9-Aug,Energy,,"DieAthene HoldingLtd. ist ein Unternehmen fr Altersvorsorgedienstleistungen. Die Gesellschaft emittiert, rckversichert und erwirbt Altersvorsorgeprodukte. Das Unternehmen ist ber das Segment Retirement Services t䴩g.",
846,847,Woodside Petroleum,Australia,4-Jan,,20-Sep,Energy,Oil & Gas Operations,"Woodside Petroleum ist ein australisches Unternehmen mit Firmensitz in Perth. Das Unternehmen ist im Aktienindex S&P/ASX 50 gelistet. Woodside Petroleum ist in der Suche nach und in der F_xDE8A__xDD25_rung von Erd_xDE72__xDC34_䴩g. ܢer 3.000 MitarbeiteNeuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefgtWoodside Petroleum ist ein australisches Unternehmen mit Firmensitz in Perth. Das Unternehmen ist im Aktienindex S&P/ASX 50 gelistet. Woodside Petroleum ist in der Suche nach und in der F_xDE8A__xDD25_rung von Erd_xDE72__xDC34_䴩g. ܢer 3.000 Mitarbeiter sind im Unternehmen weltweit besch䦴igt. Gegrndet wurde das Unternehmen 1954 als Woodside Oil Co NL. Das Unternehmen wurde nach dem Ort Woodside in Victoria benannt, in dessen N䨥 das Unternehmen sein erstes Erd_xDE72__xDDA5_ld erschloss.",
847,848,Boston Scientific,United States,8-Apr,,33.7,Health Care,Medical Equipment & Supplies,"https://jobs.bostonscientific.com/?locale=de_DEBei Boston Scientific beziehen wir unsere St䲫e aus den einzigartigen Talenten und F䨩gkeiten einer vielf䬴igen Belegschaft und sind berzeugt, dass die besten und innovativsten Produkte aus einem inklusiven Arbeitsplatz stammen, in dem unterschiedliche Ansichten begrߴ und gef_xDE8A__xDD25_rt werden. Falls Sie aufgrund einer Behinderung Untersttzung w䨲end des Bewerbungsprozesses ...",
848,849,Raiffeisen Bank International,Austria,6-Aug,118,7-Mar,Financials,Major Banks,Raiffeisen Bank International AG. Willkommen bei Raiffeisen Bank International AG!,
849,850,AMP,Australia,9-Jul,1014,11-Apr,Financials,Investment Services,Die AMP Alternative Medical Products GmbH (kurz AMP) mit Sitz in Erfurt und Berlin ist ein Groߨ䮤ler auf dem deutschen Markt fr Medizinalcannabis. AMP verfgt ber ,
850,851,Formosa Plastics,Taiwan,5-Jun,,19,Materials,Specialized Chemicals,"Die Formosa Plastics Corporation ist ein taiwanesisches Kunststoffunternehmen mit Sitz in Taiwan, das haupts䣨lich Polyvinylchloridharze und andere Kunststoffzwischenprodukte herstellt.",
851,852,China Steel,Taiwan,9-Jan,21,12-Aug,Materials,Iron & Steel,Die China Steel Corporation ist der gr_xDE3F__xDD25_ Stahlhersteller in Taiwan. 2017 produzierte CSC 15 Mio. Tonnen Stahl. Auߥrdem ist der Konzern im Stahl- und Anlagenbau und mit der Herstellung von Aluminium und anderen Materialien international t䴩g.,
852,853,Bank of Ireland,Ireland,4-Mar,1299,8-Apr,Financials,Major Banks,Die Bank of Ireland ist offiziell unter dem Namen Governor and Company of the Bank of Ireland bekannt. Sie ist eine Bank mit Unternehmenssitz in Dublin. Das Unternehmen ist eine der fnf gr_xDE3F__xDD25_n Banken Irlands und Nordirlands und an der ISE gelistet.,
853,854,China Gezhouba,China,14-Sep,,8-May,Industrials,Construction Services,"Aus dem Englischen bersetzt-China Gezhouba Group Company Limited ist ein chinesisches Bau- und Ingenieurunternehmen mit Sitz in Wuhan, Hubei. Nach Angaben von 2014 ist das Unternehmen nach Umsatz der 33. gr_xDE3F__xDD25_ Auftragnehmer der Welt.",
854,855,B⬯ise Group,Switzerland,9-Jan,789,6-Mar,Financials,,Die B⬯ise Holding AG ist ein Schweizer Versicherungskonzern mit Sitz in Basel. Der Konzern tritt als Baloise Group auf. Er besch䦴igte zum Jahresende 2019 rund 7600 Mitarbeitende und ist der drittgr_xDE8F__xDCF4_e Schweizer Allbranchen-Versicherungsdienstleister fr Private und Unternehmen,
855,856,Rakuten,Japan,7-Feb,395,15-Feb,Consumer Discretionary,Internet & Catalog Retail,"https://rakuten.de3. Genieߥ exklusive Vorteile und Erlebnisse - nur fr dich! Sammeln. Entscheide selbst, wo du Points erh䬴st. Sammle Points, indem du bei einer groߥn Auswahl von Anbietern einkaufst, Tickets fr einzigartige Momente erwirbst und alles erkundest, was Rakuten zu ",
856,857,Ameren,United States,6-Jan,,13-Feb,Utilities,Electric Utilities,Ameren ist ein US-amerikanisches Unternehmen mit Firmensitz in St. Louis. Das Unternehmen ist im Aktienindex S&P 500 gelistet. Ameren entstand am 31. Dezember 1997 durch eine Fusion der Unternehmen Missouri's Union Electric CompanNeuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefgtAmeren ist ein US-amerikanisches Unternehmen mit Firmensitz in St. Louis. Das Unternehmen ist im Aktienindex S&P 500 gelistet. Ameren entstand am 31. Dezember 1997 durch eine Fusion der Unternehmen Missouri's Union Electric Company und des Unternehmens Central Illinois Public Service Company.,
857,858,Symantec,United States,3-Aug,,19-Jan,Information Technology,Software & Programming,Die NortonLifeLock Inc. ist ein US-amerikanischer Entwickler von Sicherheitssoftware fr Privatanwender. Der Hauptsitz des Unternehmens liegt in Tempe im Bundesstaat Arizona.,
858,859,Yara International,Norway,11-Mar,14,10-Jul,Materials,Specialized Chemicals,"Yara InternationalASA ist ein Chemieunternehmen, das sich auf die Umwandlung von Energie, natrliche Mineralstoffe und Stickstoff spezialisiert hat?. Der...",
859,860,Assa Abloy,Sweden,8-Apr,,22-Jun,Industrials,Other Industrial Equipment,"https://www.assaabloyopeningsolutions.de08.04.2021 ASSA ABLOY Sicherheitstechnik GmbH Das Unternehmen entwickelt, produziert und vertreibt unter den traditionsreichen und zukunftsweisenden Marken ASSA ABLOY, IKON, effeff und KESO hochwertige Produkte und vielseitige Systeme fr den privaten, gewerblichen und _xDE5A__xDDA5_ntlichen Bereich. NEU: Produktfinder fr Tr_xDE5A__xDDAE_er 118",
860,861,Shengjing Bank,China,5-Sep,1303,5-Feb,Financials,,"Die Shengjing Bank ist eine Gesch䦴sbank mit Hauptsitz in Shenyang, Provinz Liaoning, China. Sie wurde 1996 als Shenyang City Commercial gegrndet ...",
861,862,Aena,Spain,4-Jan,,24-Mar,Industrials,,"Die Aena S.A. ist eine spanische Aktiengesellschaft, die sich mehrheitlich im Staatsbesitz befindet und fr den Betrieb inl䮤ischer Flugh䦥n zust䮤ig ist. Auߥrdem besitzt Aena Anteile an Flugh䦥n in Mexiko, USA, Kuba, Kolumbien, Bolivien, Schweden und Groߢritannien",
862,863,Mega Financial Holding,Taiwan,2-May,103,10-Jun,Financials,Investment Services,"Die Mega Financial Holding Company ist ein taiwanischer Konzern mit Sitz in Taipei, der vor allem im Bereich der Finanzdienstleistungen aktiv ist. Es handelt sich um den drittgr_xDE3F__xDD25_n b_xDE8B__xDCE5_nnotierten Finanzkonzern der Republik China.",
863,864,Shanghai International Port,China,4-Jul,,20-Feb,Industrials,Other Transportation,"Die Shanghai International Port Group (chinesisch ??????(??)??????), kurz SIPG, ist ein chinesisches Unternehmen mit Firmensitz in Shanghai. Das Unternehmen ist im Aktienindex SSE 50 gelistet. SIPG betreibt die Terminals im Hafen von Shanghai.",
864,865,Tokyo Gas,Japan,15,,10-Jan,Utilities,Natural Gas Utilities,"T?ky? Gas K.K. (jap. ????????, T?ky? Gasu Kabushiki kaisha, engl. Tokyo Gas Company, Limited) ist ein japanisches Unternehmen mit Firmensitz in Minato, Tokio.",
865,866,Mohawk Industries,United States,9,,17,Consumer Discretionary,Furniture & Fixtures,"Mohawk Industries ist ein amerikanischer Bodenbelagshersteller mit Sitz in Calhoun, Georgia, USA. Mohawk produziert Bodenbelagsprodukte fr Wohn- und Gewerbeanwendungen in Nordamerika und Wohnanwendungen in Europa",
866,867,Ooredoo Telecom,Qatar,8-Sep,,9-Jan,Telecommunication Services,Telecommunications services,"Ooredoo ist das einzige Telekommunikationsunternehmen in Katar. Das Unternehmen z䨬t im Bereich Mobiltelefonie mittlerweile ber zwei Millionen Kunden in Katar. Derzeit sind etwa 1900 Mitarbeiter im Unternehmen besch䦴igt. Das Unternehmen ist in 17 L䮤ern pr䳥nt und z䨬t inzwischen 57,5 Millionen Abonnenten",
867,868,China Galaxy Securities,China,2-Jul,354,16-Jan,Financials,,"China Galaxy SecuritiesCo., Ltd. ist eine Investment-Holdinggesellschaft, die haupts䣨lich im Bereich der Wertpapiervermittlung t䴩g ist. Zusammen mit ihren?...",
868,869,Unipol Gruppo,Italy,18-Apr,96,2-Sep,Financials,Diversified Insurance,DieUnipol GruppoS.p.A. ist ein italienisches Versicherungs- und Finanzdienstleistungsunternehmen mit Firmensitz in Bologna. Das Unternehmen wurde 1963...,
869,870,Quanta Computer,Taiwan,27-Jul,,7-Sep,Information Technology,Computer Hardware,"Quanta ist ein im Jahre 1988 gegrndeter ODM-Spezialist in Taiwan, der im ersten Quartal 2008 ca. 31 Prozent aller Notebooks weltweit produzierte",
870,871,Lam Research,United States,6-Apr,,21-Jan,Materials,,"https://www.lamresearch.com/deWir denken jeden Tag darber nach und sind stets innovativ, um die neuesten elektronischen Ger䴥 zu erm_xDE5E__xDF29_chen. Das ist der Grund, warum beinahe jeder fortschrittliche Chip, der heute hergestellt wird, mit der Technologie von Lam Research gefertigt wird. Erfahren Sie mehr ber Lam.",
871,872,China Merchants Securities,China,2-Aug,35,15-Jan,Financials,Investment Services,"China Merchants Securities Co., Ltd. (CMS) ist als Wertpapierhandels- und Maklerunternehmen t䴩g. Das Unternehmen wurde 1991 gegrndet und hat seinen Sitz in Shenzhen, ...",
872,873,Bank of Jinzhou,China,4-Jan,776,7-Sep,Financials,,"DieBank of JinzhouCo., Ltd. ist eine in Hongkong ans䳳ige Investmentgesellschaft, die haupts䣨lich im Bankgesch䦴 t䴩g ist. Die Gesellschaft hat vier...",
873,874,Entergy,United States,10-Aug,459,13-Jul,Utilities,Electric Utilities,"Entergy Corp. ist ein Strom- und Gasversorger aus den Vereinigten Staaten mit Sitz in New Orleans, Louisiana. Das Unternehmen ist im Aktienindex S&P 500 gelistet. Das Unternehmen wurde Anfang des 20. Jahrhunderts von Harvey C. Couch gegrndet. Neuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefgtEntergy Corp. ist ein Strom- und Gasversorger aus den Vereinigten Staaten mit Sitz in New Orleans, Louisiana. Das Unternehmen ist im Aktienindex S&P 500 gelistet. Das Unternehmen wurde Anfang des 20. Jahrhunderts von Harvey C. Couch gegrndet. Von 1949 bis 1989 war es als Middle South Utilities, Inc bekannt.",
874,875,Canadian Pacific Railway,Canada,4-Jul,,22,Industrials,Railroads,"Die Canadian Pacific Railway ist eine Eisenbahngesellschaft mit einem fast 22.300 Kilometer langen normalspurigen Schienennetz in Kanada und den USA. Sie ist, neben der Canadian National Railway, eine der zwei kanadischen Class 1-Eisenbahngesellschaften. Sitz des an der Toronto Stock Exchange im S&P/TSX 60 gelisteten Unternehmens ist CalgarNeuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefgtDie Canadian Pacific Railway ist eine Eisenbahngesellschaft mit einem fast 22.300 Kilometer langen normalspurigen Schienennetz in Kanada und den USA. Sie ist, neben der Canadian National Railway, eine der zwei kanadischen Class 1-Eisenbahngesellschaften. Sitz des an der Toronto Stock Exchange im S&P/TSX 60 gelisteten Unternehmens ist Calgary. Die Hauptstrecke der Gesellschaft, die zwischen 1881 und 1885 erbaute transkontinentale Verbindung, verl䵦t zwischen Montr顬 im Osten und Vancouver im Westen. Mit dem Bau der Strecke wurde ein Versprechen an die Provinz British Columbia erfllt, die 1871 der Kanadischen Konf_xDE52__xDD72_ation beigetreten war und eine Verkehrsverbindung in den Osten des Landes gefordert hatte. Die Strecke trug wesentlich zur Besiedlung der kanadischen Pr䲩eprovinzen Alberta, Manitoba und Saskatchewan bei. Heute betreibt die Canadian Pacific Railway ausschlie߬ich Gterverkehr, nachdem der Personenverkehr 1978 an VIA Rail bertragen wurde.",
875,876,JM Smucker,United States,7-Apr,,15-Jan,Consumer Staples,Food Processing,Die FirmaJM Smuckerist auf die Herstellung und den Verkauf von Lebensmitteln und Tierern䨲ungsprodukten spezialisiert. Der Nettoumsatz...,
876,877,NEC,Japan,24-May,,6-Feb,Information Technology,Electronics,"Die NEC Corporation, gelistet im Nikkei 225, ISIN JP3733000008, wurde 1899 von Kunihiko Iwadare gegrndet und ist heute als Teil der Sumitomo-Gruppe ein weltweit agierender Elektronikkonzern. Hauptsitz ist der NEC Supertower in der Shiba 5, Tokio, Japan.",
877,878,Kingfisher,United Kingdom,15,,9,Consumer Discretionary,Home Improvement Retail,"Kingfisher Angelreisen ist Ihr Spezialist fr den Angelurlaub in Norwegen, Irland, Island, Schweden, Kanada und Alaska. Ob Meeresfischen in Norwegen, Hochseeangeln vor Irland auf Blauhai, Conger und Rochen, Raubfischangeln in Seen und Lachsfischen am Moy oder Bootsferien auf dem Kabinenkreuzer, Bootsurlaub auf dem Hausboot im Traumrevier fr Hecht, Forelle und Barsch - bei uns finden Sie die ...",
878,879,Lear,United States,18-Jun,,9-Feb,Consumer Discretionary,Auto & Truck Parts,"Die Lear Corporation ist ein weltweit t䴩ger Fahrzeugzulieferer mit Sitz in Southfield, Michigan. Das Unternehmen hat den Schwerpunkt seiner T䴩gkeit im Bereich Innenausstattungssysteme fr PKW und gilt als der weltweit elftgr_xDE3F__xDD25_ Zulieferer fr die Autoindustrie. Im Jahr 2017 betrug der Umsatz rund 20,5 Mrd",
879,880,Taisei,Japan,13-Apr,,8-Apr,Industrials,Construction Services,"Die Taisei Corporation ist ein japanisches Unternehmen, das 1873 gegrndet wurde. Die Hauptgesch䦴sbereiche sind Hochbau, Tiefbau und Immobilienentwicklung. Der Hauptsitz von Taisei befindet sich im Shinjuku Center Building in Nishi-Shinjuku, Shinjuku, Tokio.",
880,881,Kajima,Japan,16-Jan,,6-Sep,Industrials,Construction Services,"Die Kajima Corporation ist eines der 䬴esten und gr_xDE3F__xDD25_n Bauunternehmen in Japan. Das 1840 gegrndete Unternehmen hat seinen Hauptsitz in Motoakasaka, Minato, Tokio. Das Unternehmen ist bekannt fr seinen DIB-200-Vorschlag",
881,882,Sandvik,Sweden,9-May,,18-May,Industrials,Other Industrial Equipment,"https://www.sandvik.coromant.com/de-de/pages/default.aspxSandvik Coromant. Sandvik Coromant ist Teil der globalen Unternehmensgruppe Sandvik und Weltmarktfhrer fr Werkzeuge und Zerspanungsl_xDE8F__xDD6E_gen. Mit seinem Know-how setzt das schwedische Unternehmen Industriestandards und treibt die fr die metallbearbeitende Industrie wichtigen Innovationen an. Fortbildungsangebote, erhebliche Investitionen ...",
882,883,DP World,United Arab Emirates,4-Feb,,18,Industrials,Other Transportation,"DP World ist einer der weltweit gr_xDE3F__xDD25_n Hafenbetreiber und unterh䬴 in verschiedenen L䮤ern zusammen 78 Terminals. Etwa 80 Prozent des Gesch䦴s liegen im Bereich Containerh䦥n mit einem Umschlag von mehr als 70,1 Millionen TwNeuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefgtDP World ist einer der weltweit gr_xDE3F__xDD25_n Hafenbetreiber und unterh䬴 in verschiedenen L䮤ern zusammen 78 Terminals. Etwa 80 Prozent des Gesch䦴s liegen im Bereich Containerh䦥n mit einem Umschlag von mehr als 70,1 Millionen Twenty-foot Equivalent Units im Jahr 2017.",
883,884,Pegatron,Taiwan,35.9,,7-May,Information Technology,Electronics,"Die Pegatron Corporation (???????????? / ????????????, H頓hu򠌩ᮨ頋?j젇?f讠Y?uxi஠G?ngs?) ist ein taiwanischer Auftragshersteller von Elektronikartikeln, der haupts䣨lich EDV-, Kommunikations- und Unterhaltungselektronik fr Markenanbieter  Die Pegatron Corporation (???????????? / ????????????, H頓hu򠌩ᮨ頋?j젇?f讠Y?uxi஠G?ngs?) ist ein taiwanischer Auftragshersteller von Elektronikartikeln, der haupts䣨lich EDV-, Kommunikations- und Unterhaltungselektronik fr Markenanbieter herstellt.",
884,885,Power Grid of India,India,3-Feb,,15-Sep,Utilities,Electric Utilities,"Power Grid Corporation of India Limited, the 'Central Transmission Utility' of India, is one of the World's Largest Transmission Utilities.",
885,886,Obayashi,Japan,16-Jul,,6-Jul,Industrials,Construction Services,"K.K. ?bayashi-gumi, gelistet im Nikkei 225, ist eines der fnf gr_xDE3F__xDD25_n Bauunternehmen neben Shimizu, Takenaka, Kajima und Taisei in Japan. Der Hauptsitz der Firma ist in Minato, Pr䦥ktur Tokio",
886,887,Zimmer Biomet,United States,7-Jul,,24-Jan,Industrials,,"Zimmer Biomet Holdings, Inc. ist ein US-amerikanisches Medizintechnik-Unternehmen, das weltweit zu den gr_xDE3F__xDD25_n Anbietern von orthop䤩schen Implantaten geh_xDE8B__xDD2E_ Der Hauptsitz des Unternehmens befindet sich in Warsaw, Bundesstaat Indiana. Das Unternehmen ist im S&P 500 gelistet.",
887,888,Devon Energy,United States,10-May,,22-Mar,Energy,Oil & Gas Operations,"Devon Energy Corp. ist ein US-amerikanisches Unternehmen mit Firmensitz in Oklahoma City. Das Unternehmen ist im Aktienindex S&P 500 an der New Yorker B_xDE8B__xDCE5_ gelistet. Devon Energy f_xDE8A__xDD25_rt, transportiert und verkauft Erd_xDE72__xDC35_nd Erdgas. RuNeuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefgtDevon Energy Corp. ist ein US-amerikanisches Unternehmen mit Firmensitz in Oklahoma City. Das Unternehmen ist im Aktienindex S&P 500 an der New Yorker B_xDE8B__xDCE5_ gelistet. Devon Energy f_xDE8A__xDD25_rt, transportiert und verkauft Erd_xDE72__xDC35_nd Erdgas. Rund 6.600 Mitarbeiter sind bei Devon Energy besch䦴igt.",
888,889,Hormel Foods,United States,9-May,,18-Jan,Consumer Staples,Food Processing,https://www.finanzen.net/aktien/hormel_foods05.06.2020 Die Hormel Foods Corporation ist ein internationaler Hersteller und Vermarkter von qualitativ hochwertigen Marken-Lebensmitteln und Fleischprodukten. Das Unternehmen ist in ganz ,
889,890,Julius Baer Group,Switzerland,3-Mar,947,11-Jan,Financials,Investment Services,"Die Bank Julius B䲠& Co. AG geh_xDE8B__xDD20_zur Schweizer Bankengruppe Julius B䲠Gruppe AG, einer Privatbank aus Zrich. Diese ist mit einem verwalteten Kundenverm_xDE5E__xDD6E_ von rund 400 Mrd. Schweizer Franken einer der gr_xDE8F__xDCF4_en europ䩳Neuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefgtDie Bank Julius B䲠& Co. AG geh_xDE8B__xDD20_zur Schweizer Bankengruppe Julius B䲠Gruppe AG, einer Privatbank aus Zrich. Diese ist mit einem verwalteten Kundenverm_xDE5E__xDD6E_ von rund 400 Mrd. Schweizer Franken einer der gr_xDE8F__xDCF4_en europ䩳chen Verm_xDE5E__xDD6E_sverwalter. Julius B䲠besch䦴igt etwa 6600 Mitarbeitende, davon nahezu 1400 Kundenberater, und ist in 28 L䮤ern und an mehr als 60 Standorten pr䳥nt. Zu den neuesten Expansionsregionen geh_xDE8B__xDD20_Thailand. Der gr_xDE8F__xDCF4_e Aktion䲠der Julius B䲠Gruppe AG ist mit rund 10 % der Stimmrechte MFS Investment Management.",
890,891,S.f. Holding,China,8-Jun,,34.4,Financials,,"SF Express, mit vollem Namen ShunFeng Express Express Co., Ltd., ist ein chinesisches Lieferdienst- und Logistikunternehmen mit Sitz in Shenzhen. Es ist der zweitgr_xDE3F__xDD25_ Kurier in China und bietet nationale und internationale Expresslieferungen an",
891,892,Schindler Holding,Switzerland,9-Aug,,19-Aug,Industrials,Other Industrial Equipment,"Die Schindler Aufzge AG ist ein Schweizer Unternehmen mit Sitz in Ebikon im Kanton Luzern, das seit 1874 international im Bau und Unterhalt von Aufzgen und Fahrtreppen t䴩g ist. Die Tochtergesellschaft der in Hergiswil ans䳳igen Neuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefgtDie Schindler Aufzge AG ist ein Schweizer Unternehmen mit Sitz in Ebikon im Kanton Luzern, das seit 1874 international im Bau und Unterhalt von Aufzgen und Fahrtreppen t䴩g ist. Die Tochtergesellschaft der in Hergiswil ans䳳igen Schindler Holding bestimmt massgeblich das operative Gesch䦴 des Konzernbereichs Aufzge & Fahrtreppen. Schindler ist nach der Otis Elevator Company der weltweit zweitgr_xDE8F__xDCF4_e Hersteller von Aufzugsanlagen und gr_xDE8F__xDCF4_er Hersteller von Fahrtreppen und Fahrsteigen.",
892,893,Avalonbay Communities,United States,2,,25-Apr,Financials,Real Estate,"AvalonBay Communities, Inc. ist ein b_xDE8B__xDCE5_nnotierter Immobilieninvestmentfonds, der in Wohnungen investiert. Zum 31. Januar 2021 besaߠdas Unternehmen 79.856 Wohneinheiten, die sich alle in Neuengland, der Metropolregion New York City, der Metropolregion Washington, DC, Seattle und Kalifornien befanden",
893,894,Cencosud,Chile,15-Mar,,9,Consumer Staples,Food Retail,"Cencosud ist ein chilenisches Unternehmen mit Firmensitz in Las Condes, Santiago de Chile. Das Unternehmen wurde von dem deutschst䭭igen Horst Paulmann Kemna 1960 gegrndet und ist im Einzelhandel t䴩g. Rund 120.000 Mitarbeiter besch䦴igt Censosud.",
894,895,JBS,Brazil,48.9,316,8-Feb,Consumer Staples,Food Processing,Dr_xDE8F__xDCE9_ger. Alles aus einer Hand! - ber 4.000 Artikel. - exklusive Marken. - High-End-Produkte. Entdecken Sie unser Produktprogramm. Fahrr䤥r mit h_xDE4E__xDE33_ter Qualit䴠zu einem erstklassigen Preis-Leistungs-Verh䬴nis. Erleben Sie unsere Bikes und die Marke. Wir untersttzen den Fachhandel seit ber 20 Jahren mit dem Rundum-Sorglos-Paket ...,
895,896,Uniper,Germany,74.4,632,6-Jan,Energy,,"https://www.uniper.energy/deBei Uniper mssen und wollen wir gleichzeitig den Energiebedarf von heute stillen und Schritt fr Schritt in eine erfolgreiche und nachhaltigere Zukunft gehen. Unsere Strategie ist von drei eng-miteinander verbundenen Elementen gepr䧴: Dekarbonisierung, Kundenorientierung und Versorgungssicherheit. Die bisherige Geschichte von Uniper ist gepr䧴 von stetiger und erfolgreicher Entwicklung ...",
896,897,Suning Appliance,China,22-Mar,,14-Aug,Consumer Discretionary,Specialty Stores,Die Suning Commerce Group ist ein chinesisches Unternehmen mit Firmensitz in Nanjing. Das Unternehmen ist im Elektroger䴥-Einzelhandel in China t䴩g. Gegrndet wurde Suning Appliance 1990.,
897,898,Yahoo!,United States,5-Feb,481,44.4,Information Technology,,"Yahoo ist ein US-amerikanischer Webdienstanbieter. Es hat seinen Hauptsitz in Sunnyvale, Kalifornien, und ist im Besitz von Verizon Media, bis zum Verkauf an von Apollo Global Management verwaltete Investmentfonds.",
898,899,L3 Technologies,United States,10-May,,12-Sep,Information Technology,,"L3 Technologies, ehemals L-3 Communications Corporation war ein US-amerikanisches Unternehmen, das Dienstleistungen und Produkte in ISR-Systemen anbot, sichere Kommunikationssysteme und Produkte, TelemeNeuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefgtL3 Technologies, ehemals L-3 Communications Corporation war ein US-amerikanisches Unternehmen, das Dienstleistungen und Produkte in ISR-Systemen anbot, sichere Kommunikationssysteme und Produkte, Telemetrie, Navigationsprodukte und Instrumente fr Navigation, Raumfahrt und Flugwesen. Der Hauptsitz des Unternehmens befand sich in New York City. In Deutschland hatte das Unternehmen Niederlassungen in Starnberg und in Pfullingen.",
899,900,CEZ Group,Czech Republic,8-Mar,,9-Feb,Utilities,Electric Utilities,CEZist ein internationales Energieversorgungsunternehmen und der gr_xDE3F__xDD25_ Energiekonzern in Tschechien sowie Mittel- und Osteuropa. Erfahren Sie mehr. ܢer...,
900,901,PKO Bank Polski,Poland,3-Aug,684,10-May,Financials,Regional Banks,Die Bank Powszechna Kasa Oszcz?dno?ci Bank Polski Sp󿫡 Akcyjna ist die gr_xDE3F__xDD25_ Bank Polens mit Sitz in Warschau. Das Unternehmen ist an der Warschauer Wertpapierb_xDE8B__xDCE5_ im Aktienindex WIG30 gelistet.,
901,902,Alliance Data Systems,United States,7-Jan,,14,Consumer Discretionary,Business & Personal Services,"Die Alliance Data Systems Corporation ist ein b_xDE8B__xDCE5_nnotierter Anbieter von Kundenbindungs- und Marketingdienstleistungen wie Handelsmarken-Kreditkarten, Treueprogrammen der Koalition und Direktmarketing, die aus der Erfassung und Analyse transaktionsreicher Daten abgeleitet werden",
902,903,AerCap Holdings,Ireland,5,416,7-Jun,Financials,,Die AerCap Holdings N.V. ist ein niederl䮤isches Unternehmen mit Sitz am Flughafen Amsterdam Schiphol. AerCap ist eine der weltweit gr_xDE3F__xDD25_n Flugzeugleasinggesellschaften mit 1372 Flugzeugen im ersten Quartal 2020.,
903,904,Genuine Parts,United States,15-Mar,,13-Mar,Consumer Discretionary,Specialty Stores,Wir sind Ihr Ansprechpartner wenn es um hochwertige Ersatzteile fr alle g䮧igen Automarken oder Lastkraftwagen geht. In unserem Sortiment finden Sie von...,
904,905,Fortis (Canada),Canada,5-Feb,367,13-Jun,Utilities,Electric Utilities,"Fortis Inc. ist ein kanadisches Energieversorgungsunternehmen mit Sitz in St. John's, Neufundland. Das Unternehmen wurde 1987 gegrndet, als Gesellschaftseigner des Unternehmens Newfoundland Power UnternehNeuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefgtFortis Inc. ist ein kanadisches Energieversorgungsunternehmen mit Sitz in St. John's, Neufundland. Das Unternehmen wurde 1987 gegrndet, als Gesellschaftseigner des Unternehmens Newfoundland Power Unternehmensteile abspalteten und hieraus Fortis als eigenst䮤ige Gesellschaft grndeten.",
905,906,Infineon Technologies,Germany,7-Mar,,22-May,Information Technology,Semiconductors,"https://www.infineon.com/cms/deInfineon Technologies verfgt ber ein groߥs Portfolio an Halbleiterl_xDE8F__xDD6E_gen, Mikrocontroller, LED Treiber, Sensoren sowie Automotive & Power Management ICs.",
906,907,Klepierre,France,1-May,,12-Apr,Financials,,"Kl鰩erre ist ein franz_xDE8E__xDE73_ches Unternehmen der Immobilienwirtschaft. Das Unternehmen wurde 1990 gegrndet und ist Bestandteil des CAC Next 20-Index. Kl鰩erre hat sich auf die Verwaltung von Einkaufszentren in Europa spezialisiert und besitzt 155 Immobilien, davon fnf in Deutschland.",
907,908,Randstad Holding,Netherlands,22-Sep,10,10-Mar,Consumer Discretionary,Business & Personal Services,www.randstad.deAttraktive Jobs beim weltweit gr_xDE3F__xDD25_n Personaldienstleister Personalvermittlung Zeitarbeit bundesweite Jobb_xDE8B__xDCE5_ Jetzt mit Randstad auf Jobsuche gehen!Founded: 1968,
